Temperature,FFMC_Boxcox,FFMCiqrO_Boxcox,FFMC,FFMC_exponential,FFMCiqrO,FFMCiqrO_exponential,FFMC_square,FFMCiqrO_square,FFMCiqrO_log,ISIiqrO_square,FFMC_log,ISI_square,DMCiqrO_log,FWIiqrO_square,ISIiqrO_exponential,DMC_log,ISI_exponential,ISIiqrO,DMCiqrO_Boxcox,ISI,DMC_Boxcox,BUIiqrO_log,FWIiqrO_exponential,BUI_log,RH_reciprocal,BUIiqrO_Boxcox,DMCiqrO_square,FWIiqrO,BUI_Boxcox,FWI,DMC_square,BUIiqrO_square,DMCiqrO_exponential,BUI_square,DMCiqrO,DMC_exponential,BUIiqrO_exponential,FFMCiqrO_reciprocal,RH_Boxcox,RH,RH_exponential,RH_square,RH_log,FFMC_reciprocal,BUIiqrO_reciprocal,BUI_reciprocal,DMC_reciprocal,DMCiqrO_reciprocal,Classes_notfire
33,13729283.169903018,22468109.921989262,81.1,38.980796766686495,81.1,38.980796766686495,9.00555384193554,9.00555384193554,4.395682961121367,1.61245154965971,4.395682961121367,1.61245154965971,2.0918640616783932,1.4832396974191326,2.2172319256025204,2.0918640616783932,2.2172319256025204,2.6,2.7538112664852847,2.6,2.587581432382465,2.0918640616783932,1.9290888640937633,2.0918640616783932,0.013157894736842105,2.6316869683805644,2.8460498941515415,2.2,2.4416387833932127,2.2,2.8460498941515415,2.8460498941515415,5.715718730168739,2.8460498941515415,8.1,5.715718730168739,5.715718730168739,0.012330456226880395,202.91146714718158,76,36.92705389286665,8.717797887081348,4.330733340286331,0.012330456226880395,0.1234567901234568,0.1234567901234568,0.1234567901234568,0.1234567901234568,1
30,3775927.100814786,5950505.330441543,59.0,29.902672866252633,59.0,29.902672866252633,7.681145747868608,7.681145747868608,4.07753744390572,1.0,4.07753744390572,1.0,1.5260563034950492,0.6324555320336759,1.0,1.5260563034950492,1.0,1.0,1.8607585579549935,1.0,1.7797025303989844,1.4816045409242156,0.4659972203002852,1.4816045409242156,0.01282051282051282,1.7402707163454192,2.1447610589527217,0.4,1.651777439554948,0.4,2.1447610589527217,2.0976176963403033,3.5669596213216974,2.0976176963403033,4.6,3.5669596213216974,3.437245592399874,0.01694915254237288,209.8286873868735,78,37.735099740195594,8.831760866327848,4.356708826689592,0.01694915254237288,0.22727272727272727,0.22727272727272727,0.2173913043478261,0.2173913043478261,1
25,199980.0915414981,2849455.0534280003,28.6,16.354541039310327,49.46250000000003,25.81646170203233,5.347896782848375,7.032958125852878,3.9012148067115433,0.0,3.353406717825807,0.0,0.26236426446749106,0.0,0.0,0.26236426446749106,0.0,0.0,0.2712256079079925,0.0,0.2692486156111154,0.5306282510621704,0.0,0.5306282510621704,0.011235955056179775,0.5615784230695307,1.140175425099138,0.0,0.5514573080589296,0.0,1.140175425099138,1.3038404810405297,1.2443793443943703,1.3038404810405297,1.3,1.2443793443943703,1.556111699076326,0.02021733636593378,248.75890402670797,89,42.120320991186794,9.433981132056603,4.48863636973214,0.03496503496503496,0.5882352941176471,0.5882352941176471,0.7692307692307692,0.7692307692307692,1
29,1553314.0861440678,2849455.0534280003,47.4,24.91620821206248,49.46250000000003,25.81646170203233,6.884765791223402,7.032958125852878,3.9012148067115433,0.4472135954999579,3.858622228701031,0.4472135954999579,1.4350845252893227,0.31622776601683794,0.2615320972023661,1.4350845252893227,0.2615320972023661,0.2,1.7286770577242554,0.2,1.6579922612294844,1.410986973710262,0.14677992676220694,1.410986973710262,0.011494252873563218,1.6443566081254282,2.04939015319192,0.1,1.5647832058673292,0.1,2.04939015319192,2.0248456731316584,3.3065447800404715,2.0248456731316584,4.2,3.3065447800404715,3.240807341021617,0.02021733636593378,241.57271811393474,87,41.33006076982422,9.327379053088816,4.465908118654584,0.02109704641350211,0.24390243902439027,0.24390243902439027,0.23809523809523808,0.23809523809523808,1
31,18001517.20938254,29693905.139970545,86.7,41.21126205378928,86.7,41.21126205378928,9.311283477587825,9.311283477587825,4.462453883786496,2.3874672772626644,4.462453883786496,2.3874672772626644,2.653241964607215,2.898275349237888,4.264770967504122,2.653241964607215,4.264770967504122,5.7,3.77497724801456,5.7,3.4830495657128444,2.9069010598473755,5.891593012023373,2.9069010598473755,0.015625,4.0168390414293125,3.7682887362833544,8.4,3.611013755952204,8.4,3.7682887362833544,4.277849927241488,9.125155774546412,4.277849927241488,14.2,9.125155774546412,11.273079630616097,0.011534025374855825,162.5327801262401,64,32.00000000000001,8.0,4.1588830833596715,0.011534025374855825,0.0546448087431694,0.0546448087431694,0.07042253521126761,0.07042253521126761,0
29,4015143.721862155,6338860.460576532,59.9,30.282311230355273,59.9,30.282311230355273,7.739509028355739,7.739509028355739,4.092676505121403,1.0488088481701516,4.092676505121403,1.0488088481701516,0.9162907318741551,0.6324555320336759,1.0826645188807436,0.9162907318741551,1.0826645188807436,1.1,1.03062914337511,1.1,1.0040097855762256,1.0647107369924282,0.4659972203002852,1.0647107369924282,0.014705882352941176,1.194243171262305,1.5811388300841898,0.4,1.1507936045304374,0.4,1.5811388300841898,1.70293863659264,2.145935547331393,1.70293863659264,2.5,2.145935547331393,2.4284639727169712,0.01669449081803005,175.77089603195813,68,33.658190225092895,8.246211251235321,4.219507705176107,0.01669449081803005,0.3448275862068966,0.3448275862068966,0.4,0.4,1
30,5987706.202803503,9564100.850678414,66.1,32.87263742056613,66.1,32.87263742056613,8.130190649671137,8.130190649671137,4.191168746857641,1.0,4.191168746857641,1.0,1.3862943611198906,0.6324555320336759,1.0,1.3862943611198906,1.0,1.0,1.659075631556862,1.0,1.593607648828015,1.3609765531356006,0.4659972203002852,1.3609765531356006,0.017241379310344827,1.577293566844088,2.0,0.4,1.50370868660345,0.4,2.0,1.9748417658131499,3.174802103936399,1.9748417658131499,4.0,3.174802103936399,3.108521240097905,0.015128593040847203,143.1184910566728,58,29.47971821581001,7.615773105863909,4.060443010546419,0.015128593040847203,0.25641025641025644,0.25641025641025644,0.25,0.25,1
35,18426478.084116705,30415626.11840961,87.2,41.40922197711006,87.2,41.40922197711006,9.338094023943002,9.338094023943002,4.468204330914934,2.6076809620810595,4.468204330914934,2.6076809620810595,3.462606009790799,3.96232255123179,4.940346696187564,3.462606009790799,4.940346696187564,6.8,5.5261617731411725,6.8,4.961119796302655,3.7184382563554808,9.921630376828077,3.7184382563554808,0.015625,5.655140348411047,5.648008498577175,15.7,4.920243143445776,15.7,5.648008498577175,6.418722614352485,17.912611326617796,6.418722614352485,31.9,17.912611326617796,22.169080481399284,0.01146788990825688,162.5327801262401,64,32.00000000000001,8.0,4.1588830833596715,0.01146788990825688,0.024271844660194174,0.024271844660194174,0.031347962382445145,0.031347962382445145,0
36,21232454.497026358,35192823.94829915,90.3,42.63240097110656,90.3,42.63240097110656,9.50263121456368,9.50263121456368,4.5031374604229395,2.949576240750525,4.5031374604229395,2.949576240750525,3.100092288878234,3.9115214431215892,6.066423292872361,3.100092288878234,6.066423292872361,8.7,4.697557529249766,8.7,4.269947952629787,3.380994674344636,9.710528316331436,3.380994674344636,0.020833333333333332,4.9395937727700305,4.711687595755898,15.3,4.3571906876075985,15.3,4.711687595755898,5.422176684690384,13.24222040471739,5.422176684690384,22.2,13.24222040471739,16.734886659091558,0.01107419712070875,112.0419075818567,48,25.17876152211956,6.928203230275509,3.871201010907891,0.01107419712070875,0.034013605442176874,0.034013605442176874,0.04504504504504505,0.04504504504504505,0
38,11905116.106269702,19401817.121352512,78.3,37.856006865867194,78.3,37.856006865867194,8.848728722251575,8.848728722251575,4.360547602996758,1.4142135623730951,4.360547602996758,1.4142135623730951,1.4816045409242156,0.8944271909999159,1.7817974362806785,1.4816045409242156,1.7817974362806785,2.0,1.7958411834213364,2.0,1.7199589679592044,1.4816045409242156,0.8303126524449708,1.4816045409242156,0.019230769230769232,1.7402707163454192,2.0976176963403033,0.8,1.651777439554948,0.8,2.0976176963403033,2.0976176963403033,3.437245592399874,2.0976176963403033,4.4,3.437245592399874,3.437245592399874,0.01277139208173691,124.27038452311756,52,26.915520724292,7.211102550927978,3.9512437185814275,0.01277139208173691,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.22727272727272727,1
